Value,Format,Metric,Year
2917.064684,LP/EP,Value (Adjusted),1985
640.136803,Vinyl Single,Value (Adjusted),1985
,8 - Track,Value (Adjusted),1985
,Other Tapes,Value (Adjusted),1985
,Music Video (Physical),Value (Adjusted),1985
,DVD Audio,Value (Adjusted),1985
,SACD,Value (Adjusted),1985
,Download Single,Value (Adjusted),1985
,Download Album,Value (Adjusted),1985
,Kiosk,Value (Adjusted),1985
,Download Music Video,Value (Adjusted),1985
,Ringtones & Ringbacks,Value (Adjusted),1985
,Other Digital,Value (Adjusted),1985
,Paid Subscription,Value (Adjusted),1985
,Limited Tier Paid Subscription,Value (Adjusted),1985
,SoundExchange Distributions,Value (Adjusted),1985
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1985
,Other Ad-Supported Streaming,Value (Adjusted),1985
,Synchronization,Value (Adjusted),1985
53,CD,Units,1986
,CD Single,Units,1986
344.5,Cassette,Units,1986
,Cassette Single,Units,1986
125.2,LP/EP,Units,1986
93.9,Vinyl Single,Units,1986
,8 - Track,Units,1986
,Other Tapes,Units,1986
,Music Video (Physical),Units,1986
,DVD Audio,Units,1986
,SACD,Units,1986
,Download Single,Units,1986
,Download Album,Units,1986
,Kiosk,Units,1986
,Download Music Video,Units,1986
,Ringtones & Ringbacks,Units,1986
,,Units,1986
,Paid Subscriptions,Units,1986
930.1,CD,Value,1986
,CD Single,Value,1986
2499.5,Cassette,Value,1986
,Cassette Single,Value,1986
983,LP/EP,Value,1986
228.1,Vinyl Single,Value,1986
,8 - Track,Value,1986
,Other Tapes,Value,1986
,Music Video (Physical),Value,1986
,DVD Audio,Value,1986
,SACD,Value,1986
,Download Single,Value,1986
,Download Album,Value,1986
,Kiosk,Value,1986
,Download Music Video,Value,1986
,Ringtones & Ringbacks,Value,1986
,Other Digital,Value,1986
,Paid Subscription,Value,1986
,Limited Tier Paid Subscription,Value,1986
,SoundExchange Distributions,Value,1986
,On-Demand Streaming (Ad-Supported),Value,1986
,Other Ad-Supported Streaming,Value,1986
,Synchronization,Value,1986
2080.165255,CD,Value (Adjusted),1986
,CD Single,Value (Adjusted),1986
5590.122628,Cassette,Value (Adjusted),1986
,Cassette Single,Value (Adjusted),1986
2198.475912,LP/EP,Value (Adjusted),1986
510.1448175,Vinyl Single,Value (Adjusted),1986
,8 - Track,Value (Adjusted),1986
,Other Tapes,Value (Adjusted),1986
,Music Video (Physical),Value (Adjusted),1986
,DVD Audio,Value (Adjusted),1986
,SACD,Value (Adjusted),1986
,Download Single,Value (Adjusted),1986
,Download Album,Value (Adjusted),1986
,Kiosk,Value (Adjusted),1986
,Download Music Video,Value (Adjusted),1986
,Ringtones & Ringbacks,Value (Adjusted),1986
,Other Digital,Value (Adjusted),1986
,Paid Subscription,Value (Adjusted),1986
,Limited Tier Paid Subscription,Value (Adjusted),1986
,SoundExchange Distributions,Value (Adjusted),1986
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1986
,Other Ad-Supported Streaming,Value (Adjusted),1986
,Synchronization,Value (Adjusted),1986
102.1,CD,Units,1987
,CD Single,Units,1987
410,Cassette,Units,1987
5.1,Cassette Single,Units,1987
107,LP/EP,Units,1987
82,Vinyl Single,Units,1987
,8 - Track,Units,1987
,Other Tapes,Units,1987
,Music Video (Physical),Units,1987
,DVD Audio,Units,1987
,SACD,Units,1987
,Download Single,Units,1987
,Download Album,Units,1987
,Kiosk,Units,1987
,Download Music Video,Units,1987
,Ringtones & Ringbacks,Units,1987
,,Units,1987
,Paid Subscriptions,Units,1987
1593.6,CD,Value,1987
,CD Single,Value,1987
2959.7,Cassette,Value,1987
14.3,Cassette Single,Value,1987
793.1,LP/EP,Value,1987
203.3,Vinyl Single,Value,1987
,8 - Track,Value,1987
,Other Tapes,Value,1987
,Music Video (Physical),Value,1987
,DVD Audio,Value,1987
,SACD,Value,1987
,Download Single,Value,1987
,Download Album,Value,1987
,Kiosk,Value,1987
,Download Music Video,Value,1987
,Ringtones & Ringbacks,Value,1987
,Other Digital,Value,1987
,Paid Subscription,Value,1987
,Limited Tier Paid Subscription,Value,1987
,SoundExchange Distributions,Value,1987
,On-Demand Streaming (Ad-Supported),Value,1987
,Other Ad-Supported Streaming,Value,1987
,Synchronization,Value,1987
3438.584789,CD,Value (Adjusted),1987
,CD Single,Value (Adjusted),1987
6386.282254,Cassette,Value (Adjusted),1987
30.85577465,Cassette Single,Value (Adjusted),1987
1711.308732,LP/EP,Value (Adjusted),1987
438.6698592,Vinyl Single,Value (Adjusted),1987
,8 - Track,Value (Adjusted),1987
,Other Tapes,Value (Adjusted),1987
,Music Video (Physical),Value (Adjusted),1987
,DVD Audio,Value (Adjusted),1987
,SACD,Value (Adjusted),1987
,Download Single,Value (Adjusted),1987
,Download Album,Value (Adjusted),1987
,Kiosk,Value (Adjusted),1987
,Download Music Video,Value (Adjusted),1987
,Ringtones & Ringbacks,Value (Adjusted),1987
,Other Digital,Value (Adjusted),1987
,Paid Subscription,Value (Adjusted),1987
,Limited Tier Paid Subscription,Value (Adjusted),1987
,SoundExchange Distributions,Value (Adjusted),1987
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1987
,Other Ad-Supported Streaming,Value (Adjusted),1987
,Synchronization,Value (Adjusted),1987
149.7,CD,Units,1988
1.6,CD Single,Units,1988
450.1,Cassette,Units,1988
22.5,Cassette Single,Units,1988
72.4,LP/EP,Units,1988
65.6,Vinyl Single,Units,1988
,8 - Track,Units,1988
,Other Tapes,Units,1988
,Music Video (Physical),Units,1988
,DVD Audio,Units,1988
,SACD,Units,1988
,Download Single,Units,1988
,Download Album,Units,1988
,Kiosk,Units,1988
,Download Music Video,Units,1988
,Ringtones & Ringbacks,Units,1988
,,Units,1988
,Paid Subscriptions,Units,1988
2089.9,CD,Value,1988
9.8,CD Single,Value,1988
3385.1,Cassette,Value,1988
57.3,Cassette Single,Value,1988
532.2,LP/EP,Value,1988
180.4,Vinyl Single,Value,1988
,8 - Track,Value,1988
,Other Tapes,Value,1988
,Music Video (Physical),Value,1988
,DVD Audio,Value,1988
,SACD,Value,1988
,Download Single,Value,1988
,Download Album,Value,1988
,Kiosk,Value,1988
,Download Music Video,Value,1988
,Ringtones & Ringbacks,Value,1988
,Other Digital,Value,1988
,Paid Subscription,Value,1988
,Limited Tier Paid Subscription,Value,1988
,SoundExchange Distributions,Value,1988
,On-Demand Streaming (Ad-Supported),Value,1988
,Other Ad-Supported Streaming,Value,1988
,Synchronization,Value,1988
4330.315199,CD,Value (Adjusted),1988
20.30579882,CD Single,Value (Adjusted),1988
7013.995875,Cassette,Value (Adjusted),1988
118.7267625,Cassette Single,Value (Adjusted),1988
1102.729197,LP/EP,Value (Adjusted),1988
373.7924598,Vinyl Single,Value (Adjusted),1988
,8 - Track,Value (Adjusted),1988
,Other Tapes,Value (Adjusted),1988
,Music Video (Physical),Value (Adjusted),1988
,DVD Audio,Value (Adjusted),1988
,SACD,Value (Adjusted),1988
,Download Single,Value (Adjusted),1988
,Download Album,Value (Adjusted),1988
,Kiosk,Value (Adjusted),1988
,Download Music Video,Value (Adjusted),1988
,Ringtones & Ringbacks,Value (Adjusted),1988
,Other Digital,Value (Adjusted),1988
,Paid Subscription,Value (Adjusted),1988
,Limited Tier Paid Subscription,Value (Adjusted),1988
,SoundExchange Distributions,Value (Adjusted),1988
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1988
,Other Ad-Supported Streaming,Value (Adjusted),1988
,Synchronization,Value (Adjusted),1988
207.2,CD,Units,1989
,CD Single,Units,1989
446.2,Cassette,Units,1989
76.2,Cassette Single,Units,1989
34.6,LP/EP,Units,1989
36.6,Vinyl Single,Units,1989
,8 - Track,Units,1989
,Other Tapes,Units,1989
6.1,Music Video (Physical),Units,1989
,DVD Audio,Units,1989
,SACD,Units,1989
,Download Single,Units,1989
,Download Album,Units,1989
,Kiosk,Units,1989
,Download Music Video,Units,1989
,Ringtones & Ringbacks,Units,1989
,,Units,1989
,Paid Subscriptions,Units,1989
2587.7,CD,Value,1989
,CD Single,Value,1989
3345.8,Cassette,Value,1989
194.6,Cassette Single,Value,1989
220.3,LP/EP,Value,1989
116.4,Vinyl Single,Value,1989
,8 - Track,Value,1989
,Other Tapes,Value,1989
115.4,Music Video (Physical),Value,1989
,DVD Audio,Value,1989
,SACD,Value,1989
,Download Single,Value,1989
,Download Album,Value,1989
,Kiosk,Value,1989
,Download Music Video,Value,1989
,Ringtones & Ringbacks,Value,1989
,Other Digital,Value,1989
,Paid Subscription,Value,1989
,Limited Tier Paid Subscription,Value,1989
,SoundExchange Distributions,Value,1989
,On-Demand Streaming (Ad-Supported),Value,1989
,Other Ad-Supported Streaming,Value,1989
,Synchronization,Value,1989
5115.298581,CD,Value (Adjusted),1989
,CD Single,Value (Adjusted),1989
6613.891097,Cassette,Value (Adjusted),1989
384.6802581,Cassette Single,Value (Adjusted),1989
435.4833548,LP/EP,Value (Adjusted),1989
230.0965161,Vinyl Single,Value (Adjusted),1989
,8 - Track,Value (Adjusted),1989
,Other Tapes,Value (Adjusted),1989
228.1197419,Music Video (Physical),Value (Adjusted),1989
,DVD Audio,Value (Adjusted),1989
,SACD,Value (Adjusted),1989
,Download Single,Value (Adjusted),1989
,Download Album,Value (Adjusted),1989
,Kiosk,Value (Adjusted),1989
,Download Music Video,Value (Adjusted),1989
,Ringtones & Ringbacks,Value (Adjusted),1989
,Other Digital,Value (Adjusted),1989
,Paid Subscription,Value (Adjusted),1989
,Limited Tier Paid Subscription,Value (Adjusted),1989
,SoundExchange Distributions,Value (Adjusted),1989
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1989
,Other Ad-Supported Streaming,Value (Adjusted),1989
,Synchronization,Value (Adjusted),1989
286.5,CD,Units,1990
1.1,CD Single,Units,1990
442.2,Cassette,Units,1990
87.4,Cassette Single,Units,1990
11.7,LP/EP,Units,1990
27.6,Vinyl Single,Units,1990
,8 - Track,Units,1990
,Other Tapes,Units,1990
9.2,Music Video (Physical),Units,1990
,DVD Audio,Units,1990
,SACD,Units,1990
,Download Single,Units,1990
,Download Album,Units,1990
,Kiosk,Units,1990
,Download Music Video,Units,1990
,Ringtones & Ringbacks,Units,1990
,,Units,1990
,Paid Subscriptions,Units,1990
3451.6,CD,Value,1990
6,CD Single,Value,1990
3472.4,Cassette,Value,1990
257.9,Cassette Single,Value,1990
86.5,LP/EP,Value,1990
94.4,Vinyl Single,Value,1990
,8 - Track,Value,1990
,Other Tapes,Value,1990
172.3,Music Video (Physical),Value,1990
,DVD Audio,Value,1990
,SACD,Value,1990
,Download Single,Value,1990
,Download Album,Value,1990
,Kiosk,Value,1990
,Download Music Video,Value,1990
,Ringtones & Ringbacks,Value,1990
,Other Digital,Value,1990
,Paid Subscription,Value,1990
,Limited Tier Paid Subscription,Value,1990
,SoundExchange Distributions,Value,1990
,On-Demand Streaming (Ad-Supported),Value,1990
,Other Ad-Supported Streaming,Value,1990
,Synchronization,Value,1990
6473.268493,CD,Value (Adjusted),1990
11.25263963,CD Single,Value (Adjusted),1990
6512.277643,Cassette,Value (Adjusted),1990
483.6759602,Cassette Single,Value (Adjusted),1990
162.2255547,LP/EP,Value (Adjusted),1990
177.0415302,Vinyl Single,Value (Adjusted),1990
,8 - Track,Value (Adjusted),1990
,Other Tapes,Value (Adjusted),1990
323.1383015,Music Video (Physical),Value (Adjusted),1990
,DVD Audio,Value (Adjusted),1990
,SACD,Value (Adjusted),1990
,Download Single,Value (Adjusted),1990
,Download Album,Value (Adjusted),1990
,Kiosk,Value (Adjusted),1990
,Download Music Video,Value (Adjusted),1990
,Ringtones & Ringbacks,Value (Adjusted),1990
,Other Digital,Value (Adjusted),1990
,Paid Subscription,Value (Adjusted),1990
,Limited Tier Paid Subscription,Value (Adjusted),1990
,SoundExchange Distributions,Value (Adjusted),1990
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1990
,Other Ad-Supported Streaming,Value (Adjusted),1990
,Synchronization,Value (Adjusted),1990
333.3,CD,Units,1991
5.7,CD Single,Units,1991
360.1,Cassette,Units,1991
69,Cassette Single,Units,1991
4.8,LP/EP,Units,1991
22,Vinyl Single,Units,1991
,8 - Track,Units,1991
,Other Tapes,Units,1991
6.1,Music Video (Physical),Units,1991
,DVD Audio,Units,1991
,SACD,Units,1991
,Download Single,Units,1991
,Download Album,Units,1991
,Kiosk,Units,1991
,Download Music Video,Units,1991
,Ringtones & Ringbacks,Units,1991
,,Units,1991
,Paid Subscriptions,Units,1991
4337.7,CD,Value,1991
35.1,CD Single,Value,1991
3019.6,Cassette,Value,1991
230.4,Cassette Single,Value,1991
29.4,LP/EP,Value,1991
63.9,Vinyl Single,Value,1991
,8 - Track,Value,1991
,Other Tapes,Value,1991
118.1,Music Video (Physical),Value,1991
,DVD Audio,Value,1991
,SACD,Value,1991
,Download Single,Value,1991
,Download Album,Value,1991
,Kiosk,Value,1991
,Download Music Video,Value,1991
,Ringtones & Ringbacks,Value,1991
,Other Digital,Value,1991
,Paid Subscription,Value,1991
,Limited Tier Paid Subscription,Value,1991
,SoundExchange Distributions,Value,1991
,On-Demand Streaming (Ad-Supported),Value,1991
,Other Ad-Supported Streaming,Value,1991
,Synchronization,Value,1991
7806.586079,CD,Value (Adjusted),1991
63.16969163,CD Single,Value (Adjusted),1991
5434.393186,Cassette,Value (Adjusted),1991
414.6523348,Cassette Single,Value (Adjusted),1991
52.91136564,LP/EP,Value (Adjusted),1991
115.0012335,Vinyl Single,Value (Adjusted),1991
,8 - Track,Value (Adjusted),1991
,Other Tapes,Value (Adjusted),1991
212.5453157,Music Video (Physical),Value (Adjusted),1991
,DVD Audio,Value (Adjusted),1991
,SACD,Value (Adjusted),1991
,Download Single,Value (Adjusted),1991
,Download Album,Value (Adjusted),1991
,Kiosk,Value (Adjusted),1991
,Download Music Video,Value (Adjusted),1991
,Ringtones & Ringbacks,Value (Adjusted),1991
,Other Digital,Value (Adjusted),1991
,Paid Subscription,Value (Adjusted),1991
,Limited Tier Paid Subscription,Value (Adjusted),1991
,SoundExchange Distributions,Value (Adjusted),1991
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1991
,Other Ad-Supported Streaming,Value (Adjusted),1991
,Synchronization,Value (Adjusted),1991
407.5,CD,Units,1992
7.3,CD Single,Units,1992
366.4,Cassette,Units,1992
84.6,Cassette Single,Units,1992
2.3,LP/EP,Units,1992
19.8,Vinyl Single,Units,1992
,8 - Track,Units,1992
,Other Tapes,Units,1992
7.6,Music Video (Physical),Units,1992
,DVD Audio,Units,1992
,SACD,Units,1992
,Download Single,Units,1992
,Download Album,Units,1992
,Kiosk,Units,1992
,Download Music Video,Units,1992
,Ringtones & Ringbacks,Units,1992
,,Units,1992
,Paid Subscriptions,Units,1992
5326.5,CD,Value,1992
45.1,CD Single,Value,1992
3116.3,Cassette,Value,1992
298.8,Cassette Single,Value,1992
13.5,LP/EP,Value,1992
66.4,Vinyl Single,Value,1992
,8 - Track,Value,1992
,Other Tapes,Value,1992
157.4,Music Video (Physical),Value,1992
,DVD Audio,Value,1992
,SACD,Value,1992
,Download Single,Value,1992
,Download Album,Value,1992
,Kiosk,Value,1992
,Download Music Video,Value,1992
,Ringtones & Ringbacks,Value,1992
,Other Digital,Value,1992
,Paid Subscription,Value,1992
,Limited Tier Paid Subscription,Value,1992
,SoundExchange Distributions,Value,1992
,On-Demand Streaming (Ad-Supported),Value,1992
,Other Ad-Supported Streaming,Value,1992
,Synchronization,Value,1992
9305.999145,CD,Value (Adjusted),1992
78.79481112,CD Single,Value (Adjusted),1992
5444.529266,Cassette,Value (Adjusted),1992
522.0374626,Cassette Single,Value (Adjusted),1992
23.58602994,LP/EP,Value (Adjusted),1992
116.008325,Vinyl Single,Value (Adjusted),1992
,8 - Track,Value (Adjusted),1992
,Other Tapes,Value (Adjusted),1992
274.9956379,Music Video (Physical),Value (Adjusted),1992
,DVD Audio,Value (Adjusted),1992
,SACD,Value (Adjusted),1992
,Download Single,Value (Adjusted),1992
,Download Album,Value (Adjusted),1992
,Kiosk,Value (Adjusted),1992
,Download Music Video,Value (Adjusted),1992
,Ringtones & Ringbacks,Value (Adjusted),1992
,Other Digital,Value (Adjusted),1992
,Paid Subscription,Value (Adjusted),1992
,Limited Tier Paid Subscription,Value (Adjusted),1992
,SoundExchange Distributions,Value (Adjusted),1992
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1992
,Other Ad-Supported Streaming,Value (Adjusted),1992
,Synchronization,Value (Adjusted),1992
495.4,CD,Units,1993
7.8,CD Single,Units,1993
339.5,Cassette,Units,1993
85.6,Cassette Single,Units,1993
1.2,LP/EP,Units,1993
15.1,Vinyl Single,Units,1993
,8 - Track,Units,1993
,Other Tapes,Units,1993
11,Music Video (Physical),Units,1993
,DVD Audio,Units,1993
,SACD,Units,1993
,Download Single,Units,1993
,Download Album,Units,1993
,Kiosk,Units,1993
,Download Music Video,Units,1993
,Ringtones & Ringbacks,Units,1993
,,Units,1993
,Paid Subscriptions,Units,1993
6511.4,CD,Value,1993
45.8,CD Single,Value,1993
2915.8,Cassette,Value,1993
298.5,Cassette Single,Value,1993
10.6,LP/EP,Value,1993
51.2,Vinyl Single,Value,1993
,8 - Track,Value,1993
,Other Tapes,Value,1993
213.3,Music Video (Physical),Value,1993
,DVD Audio,Value,1993
,SACD,Value,1993
,Download Single,Value,1993
,Download Album,Value,1993
,Kiosk,Value,1993
,Download Music Video,Value,1993
,Ringtones & Ringbacks,Value,1993
,Other Digital,Value,1993
,Paid Subscription,Value,1993
,Limited Tier Paid Subscription,Value,1993
,SoundExchange Distributions,Value,1993
,On-Demand Streaming (Ad-Supported),Value,1993
,Other Ad-Supported Streaming,Value,1993
,Synchronization,Value,1993
11045.49736,CD,Value (Adjusted),1993
77.69201384,CD Single,Value (Adjusted),1993
4946.16537,Cassette,Value (Adjusted),1993
506.3551557,Cassette Single,Value (Adjusted),1993
17.98112111,LP/EP,Value (Adjusted),1993
86.85220761,Vinyl Single,Value (Adjusted),1993
,8 - Track,Value (Adjusted),1993
,Other Tapes,Value (Adjusted),1993
361.827654,Music Video (Physical),Value (Adjusted),1993
,DVD Audio,Value (Adjusted),1993
,SACD,Value (Adjusted),1993
,Download Single,Value (Adjusted),1993
,Download Album,Value (Adjusted),1993
,Kiosk,Value (Adjusted),1993
,Download Music Video,Value (Adjusted),1993
,Ringtones & Ringbacks,Value (Adjusted),1993
,Other Digital,Value (Adjusted),1993
,Paid Subscription,Value (Adjusted),1993
,Limited Tier Paid Subscription,Value (Adjusted),1993
,SoundExchange Distributions,Value (Adjusted),1993
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1993
,Other Ad-Supported Streaming,Value (Adjusted),1993
,Synchronization,Value (Adjusted),1993
662.1,CD,Units,1994
9.3,CD Single,Units,1994
345.4,Cassette,Units,1994
81.1,Cassette Single,Units,1994
1.9,LP/EP,Units,1994
11.7,Vinyl Single,Units,1994
,8 - Track,Units,1994
,Other Tapes,Units,1994
11.2,Music Video (Physical),Units,1994
,DVD Audio,Units,1994
,SACD,Units,1994
,Download Single,Units,1994
,Download Album,Units,1994
,Kiosk,Units,1994
,Download Music Video,Units,1994
,Ringtones & Ringbacks,Units,1994
,,Units,1994
,Paid Subscriptions,Units,1994
8464.5,CD,Value,1994
56.1,CD Single,Value,1994
2976.4,Cassette,Value,1994
274.9,Cassette Single,Value,1994
17.8,LP/EP,Value,1994
47.2,Vinyl Single,Value,1994
,8 - Track,Value,1994
,Other Tapes,Value,1994
231.1,Music Video (Physical),Value,1994
,DVD Audio,Value,1994
,SACD,Value,1994
,Download Single,Value,1994
,Download Album,Value,1994
,Kiosk,Value,1994
,Download Music Video,Value,1994
,Ringtones & Ringbacks,Value,1994
,Other Digital,Value,1994
,Paid Subscription,Value,1994
,Limited Tier Paid Subscription,Value,1994
,SoundExchange Distributions,Value,1994
,On-Demand Streaming (Ad-Supported),Value,1994
,Other Ad-Supported Streaming,Value,1994
,Synchronization,Value,1994
14000.12308,CD,Value (Adjusted),1994
92.78834008,CD Single,Value (Adjusted),1994
4922.909366,Cassette,Value (Adjusted),1994
454.6794062,Cassette Single,Value (Adjusted),1994
29.4408637,LP/EP,Value (Adjusted),1994
78.06790823,Vinyl Single,Value (Adjusted),1994
,8 - Track,Value (Adjusted),1994
,Other Tapes,Value (Adjusted),1994
382.2350337,Music Video (Physical),Value (Adjusted),1994
,DVD Audio,Value (Adjusted),1994
,SACD,Value (Adjusted),1994
,Download Single,Value (Adjusted),1994
,Download Album,Value (Adjusted),1994
,Kiosk,Value (Adjusted),1994
,Download Music Video,Value (Adjusted),1994
,Ringtones & Ringbacks,Value (Adjusted),1994
,Other Digital,Value (Adjusted),1994
,Paid Subscription,Value (Adjusted),1994
,Limited Tier Paid Subscription,Value (Adjusted),1994
,SoundExchange Distributions,Value (Adjusted),1994
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1994
,Other Ad-Supported Streaming,Value (Adjusted),1994
,Synchronization,Value (Adjusted),1994
722.9,CD,Units,1995
21.5,CD Single,Units,1995
272.6,Cassette,Units,1995
70.7,Cassette Single,Units,1995
2.2,LP/EP,Units,1995
10.2,Vinyl Single,Units,1995
,8 - Track,Units,1995
,Other Tapes,Units,1995
12.6,Music Video (Physical),Units,1995
,DVD Audio,Units,1995
,SACD,Units,1995
,Download Single,Units,1995
,Download Album,Units,1995
,Kiosk,Units,1995
,Download Music Video,Units,1995
,Ringtones & Ringbacks,Units,1995
,,Units,1995
,Paid Subscriptions,Units,1995
9377.4,CD,Value,1995
110.9,CD Single,Value,1995
2303.6,Cassette,Value,1995
236.3,Cassette Single,Value,1995
25.1,LP/EP,Value,1995
46.7,Vinyl Single,Value,1995
,8 - Track,Value,1995
,Other Tapes,Value,1995
220.3,Music Video (Physical),Value,1995
,DVD Audio,Value,1995
,SACD,Value,1995
,Download Single,Value,1995
,Download Album,Value,1995
,Kiosk,Value,1995
,Download Music Video,Value,1995
,Ringtones & Ringbacks,Value,1995
,Other Digital,Value,1995
,Paid Subscription,Value,1995
,Limited Tier Paid Subscription,Value,1995
,SoundExchange Distributions,Value,1995
,On-Demand Streaming (Ad-Supported),Value,1995
,Other Ad-Supported Streaming,Value,1995
,Synchronization,Value,1995
15082.60031,CD,Value (Adjusted),1995
178.3714436,CD Single,Value (Adjusted),1995
3705.107822,Cassette,Value (Adjusted),1995
380.0646719,Cassette Single,Value (Adjusted),1995
40.37081365,LP/EP,Value (Adjusted),1995
75.11223097,Vinyl Single,Value (Adjusted),1995
,8 - Track,Value (Adjusted),1995
,Other Tapes,Value (Adjusted),1995
354.3302887,Music Video (Physical),Value (Adjusted),1995
,DVD Audio,Value (Adjusted),1995
,SACD,Value (Adjusted),1995
,Download Single,Value (Adjusted),1995
,Download Album,Value (Adjusted),1995
,Kiosk,Value (Adjusted),1995
,Download Music Video,Value (Adjusted),1995
,Ringtones & Ringbacks,Value (Adjusted),1995
,Other Digital,Value (Adjusted),1995
,Paid Subscription,Value (Adjusted),1995
,Limited Tier Paid Subscription,Value (Adjusted),1995
,SoundExchange Distributions,Value (Adjusted),1995
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1995
,Other Ad-Supported Streaming,Value (Adjusted),1995
,Synchronization,Value (Adjusted),1995
778.9,CD,Units,1996
43.2,CD Single,Units,1996
225.3,Cassette,Units,1996
59.9,Cassette Single,Units,1996
2.9,LP/EP,Units,1996
10.1,Vinyl Single,Units,1996
,8 - Track,Units,1996
,Other Tapes,Units,1996
16.9,Music Video (Physical),Units,1996
,DVD Audio,Units,1996
,SACD,Units,1996
,Download Single,Units,1996
,Download Album,Units,1996
,Kiosk,Units,1996
,Download Music Video,Units,1996
,Ringtones & Ringbacks,Units,1996
,,Units,1996
,Paid Subscriptions,Units,1996
9934.7,CD,Value,1996
184.1,CD Single,Value,1996
1905.3,Cassette,Value,1996
189.3,Cassette Single,Value,1996
36.8,LP/EP,Value,1996
47.5,Vinyl Single,Value,1996
,8 - Track,Value,1996
,Other Tapes,Value,1996
236.1,Music Video (Physical),Value,1996
,DVD Audio,Value,1996
,SACD,Value,1996
,Download Single,Value,1996
,Download Album,Value,1996
,Kiosk,Value,1996
,Download Music Video,Value,1996
,Ringtones & Ringbacks,Value,1996
,Other Digital,Value,1996
,Paid Subscription,Value,1996
,Limited Tier Paid Subscription,Value,1996
,SoundExchange Distributions,Value,1996
,On-Demand Streaming (Ad-Supported),Value,1996
,Other Ad-Supported Streaming,Value,1996
,Synchronization,Value,1996
15520.67345,CD,Value (Adjusted),1996
287.6137157,CD Single,Value (Adjusted),1996
2976.591052,Cassette,Value (Adjusted),1996
295.7375143,Cassette Single,Value (Adjusted),1996
57.49149777,LP/EP,Value (Adjusted),1996
74.20777565,Vinyl Single,Value (Adjusted),1996
,8 - Track,Value (Adjusted),1996
,Other Tapes,Value (Adjusted),1996
368.8517017,Music Video (Physical),Value (Adjusted),1996
,DVD Audio,Value (Adjusted),1996
,SACD,Value (Adjusted),1996
,Download Single,Value (Adjusted),1996
,Download Album,Value (Adjusted),1996
,Kiosk,Value (Adjusted),1996
,Download Music Video,Value (Adjusted),1996
,Ringtones & Ringbacks,Value (Adjusted),1996
,Other Digital,Value (Adjusted),1996
,Paid Subscription,Value (Adjusted),1996
,Limited Tier Paid Subscription,Value (Adjusted),1996
,SoundExchange Distributions,Value (Adjusted),1996
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1996
,Other Ad-Supported Streaming,Value (Adjusted),1996
,Synchronization,Value (Adjusted),1996
753.1,CD,Units,1997
66.7,CD Single,Units,1997
172.6,Cassette,Units,1997
42.2,Cassette Single,Units,1997
2.7,LP/EP,Units,1997
7.5,Vinyl Single,Units,1997
,8 - Track,Units,1997
,Other Tapes,Units,1997
18.6,Music Video (Physical),Units,1997
,DVD Audio,Units,1997
,SACD,Units,1997
,Download Single,Units,1997
,Download Album,Units,1997
,Kiosk,Units,1997
,Download Music Video,Units,1997
,Ringtones & Ringbacks,Units,1997
,,Units,1997
,Paid Subscriptions,Units,1997
9915.1,CD,Value,1997
272.7,CD Single,Value,1997
1522.7,Cassette,Value,1997
133.5,Cassette Single,Value,1997
33.3,LP/EP,Value,1997
35.6,Vinyl Single,Value,1997
,8 - Track,Value,1997
,Other Tapes,Value,1997
323.9,Music Video (Physical),Value,1997
,DVD Audio,Value,1997
,SACD,Value,1997
,Download Single,Value,1997
,Download Album,Value,1997
,Kiosk,Value,1997
,Download Music Video,Value,1997
,Ringtones & Ringbacks,Value,1997
,Other Digital,Value,1997
,Paid Subscription,Value,1997
,Limited Tier Paid Subscription,Value,1997
,SoundExchange Distributions,Value,1997
,On-Demand Streaming (Ad-Supported),Value,1997
,Other Ad-Supported Streaming,Value,1997
,Synchronization,Value,1997
15142.61254,CD,Value (Adjusted),1997
416.4749159,CD Single,Value (Adjusted),1997
2325.509184,Cassette,Value (Adjusted),1997
203.8848598,Cassette Single,Value (Adjusted),1997
50.8566729,LP/EP,Value (Adjusted),1997
54.36929595,Vinyl Single,Value (Adjusted),1997
,8 - Track,Value (Adjusted),1997
,Other Tapes,Value (Adjusted),1997
494.6689595,Music Video (Physical),Value (Adjusted),1997
,DVD Audio,Value (Adjusted),1997
,SACD,Value (Adjusted),1997
,Download Single,Value (Adjusted),1997
,Download Album,Value (Adjusted),1997
,Kiosk,Value (Adjusted),1997
,Download Music Video,Value (Adjusted),1997
,Ringtones & Ringbacks,Value (Adjusted),1997
,Other Digital,Value (Adjusted),1997
,Paid Subscription,Value (Adjusted),1997
,Limited Tier Paid Subscription,Value (Adjusted),1997
,SoundExchange Distributions,Value (Adjusted),1997
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1997
,Other Ad-Supported Streaming,Value (Adjusted),1997
,Synchronization,Value (Adjusted),1997
